%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1391634805445813511,759111,1391634805445813511,,-0.163821347908,0.0447033288032,0.150105950563,0.13788570405,0.71108061928,0.0652815272603,0.686360115174
1391634805447541335,759112,1391634805447541335,,-0.163821347908,0.0447033288032,0.150105950563,0.13788570405,0.71108061928,0.0652815272603,0.686360115174
1391634805448517996,759113,1391634805448517996,,-0.163836952675,0.0447019339541,0.150106032314,0.137091986651,0.710966010954,0.0661793224201,0.686551830344
1391634805449340916,759114,1391634805449340916,,-0.163836952675,0.0447019339541,0.150106032314,0.137091986651,0.710966010954,0.0661793224201,0.686551830344
1391634805450842289,759115,1391634805450842289,,-0.163836952675,0.0447019339541,0.150106032314,0.137091986651,0.710966010954,0.0661793224201,0.686551830344
1391634805451762982,759116,1391634805451762982,,-0.163828306132,0.0447559825927,0.150180936992,0.132351174933,0.711011686241,0.0684270373596,0.687214150816
1391634805452498717,759117,1391634805452498717,,-0.164068800222,0.0440563404414,0.149594191362,0.142888899517,0.711374064106,0.0576735675112,0.685713834571
1391634805453234944,759118,1391634805453234944,,-0.164068800222,0.0440563404414,0.149594191362,0.142888899517,0.711374064106,0.0576735675112,0.685713834571
1391634805454006271,759119,1391634805454006271,,-0.164068800222,0.0440563404414,0.149594191362,0.142888899517,0.711374064106,0.0576735675112,0.685713834571
1391634805454784222,759120,1391634805454784222,,-0.163844179605,0.0444219201703,0.150309244262,0.132450316479,0.711311295406,0.065364278509,0.687183138463
1391634805455482915,759121,1391634805455482915,,-0.163844179605,0.0444219201703,0.150309244262,0.132450316479,0.711311295406,0.065364278509,0.687183138463
1391634805456811060,759122,1391634805456811060,,-0.163844179605,0.0444219201703,0.150309244262,0.132450316479,0.711311295406,0.065364278509,0.687183138463
1391634805457613610,759123,1391634805457613610,,-0.163860332302,0.0444212902951,0.15031017865,0.131808594396,0.711254146741,0.0660870083766,0.687296544812
1391634805458364840,759124,1391634805458364840,,-0.163860332302,0.0444212902951,0.15031017865,0.131808594396,0.711254146741,0.0660870083766,0.687296544812
